,batter,beat,break,catch,cheap,check,close,club,court,crush,direct,fall,fame,fine,hang,jam,mug,patient,pick,pop,proud,retreat,revolution,shady,sharp,shot,superior,survivor,take,terminal,thick,trip,enjoy,fantastic,awesome,forgive,free,fun,good,grace,great,helpful,joy,kindness,lovely,peace,puppy,relax,reward,success,sunny,win,bonus,awesome,talent,beach,rough,annoy,awful,corrupt,disaster,disgust,failed,gross,hate,loss,menace,nightmare,pathetic,poor,prison,rude,scared,terror,ugly,wrong,monster,mess,garbage,evil,denied,badly,crap,damn,damage
S1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
S2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
S3,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,1,2,2,2,2
S4,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
S5,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
S6,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,,2,2,2,2
S7,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
S8,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
S9,2,1,1,2,1,2,,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2
S10,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,2,2